# schema=sow-migration-family-e2e/v1
family	dispositions	coverage	evidence	boundary
R01	policy-reject	disposition-contract	contract:policy-reject	entitlement data is never an asset
R02	external-handoff	disposition-contract	contract:external-handoff	target-specific script bodies must converge before add
R03	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	local protocol transport only; production COS remains gated
R04	external-handoff	disposition-contract	contract:external-handoff	document generation remains with the builder
R05	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	local R2 and CDN protocol only
R06	external-handoff	disposition-contract	contract:external-handoff	compatibility checksum generation remains with the builder
R07	sow-cli	local-cli+provider-protocol	TestMaterializeCLIProducesExactHardlinkTree,TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	asset add materialize and publish use canonical bytes
R08	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	latest pointer publish uses the asset protocol path
R09	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	COS production proof remains gated
R10	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	COS production proof remains gated
R11	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	dual-target production proof remains gated
R12	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast	dual-target production proof remains gated
R13	sow-cli	provider-protocol	TestPublishCLIUsesRealProviderProtocolAndAdvancesRemoteRefLast,TestPublishCLIUploadsRealAPTAndYUMGenerationClosures	mixed asset APT and YUM provider contract; real clouds remain gated
R14	sow-cli	local-cli+provider-protocol	TestSyncYUMEndToEndPreservesCanonicalProvenanceAndNeverDeletes,TestPublishCLIUploadsRealAPTAndYUMGenerationClosures	loopback YUM sync plus provider protocol; upstream and clouds remain gated
R15	sow-cli	local-cli+provider-protocol	TestSyncAPTEndToEndPreservesCanonicalProvenanceAndNeverDeletes,TestPublishCLIUploadsRealAPTAndYUMGenerationClosures	loopback APT sync plus provider protocol; upstream and clouds remain gated
R16	migration-only,sow-cli	local-cli+provider-protocol	contract:migration-only,TestInitAdoptContentRejectsGatedPublicAndAllowsStable,TestPublishCLIStableUsesGatedNamespaceAndScopedBasicVerification,TestPublishCLIUploadsRealAPTAndYUMGenerationClosures	one-time isolated import plus stable provider contract; no daily pull
A01	sow-cli	local-cli	TestInitAndFSCKEndToEnd,TestInitAdoptContentAssetsIsZeroRewriteAtomicAndIdempotent,TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM,TestInitAdoptContentSynthetic33RepoGeneralization	zero-rewrite init and fsck cover every synthetic selector plus the separate Pigsty-v1 physical parsers
A02	retire	disposition-contract	contract:retire	stash deletion ceremony has no SOW business equivalent
A03	sow-cli	local-cli	TestDEBAddBuildsSignedByHashRepositoryFromExternalPackage	real DEB parser CAS signed indexes and replay
A04	sow-cli	local-cli	TestDEBAddBuildsSignedByHashRepositoryFromExternalPackage	real DEB parser is the package admission boundary
A05	sow-cli	local-cli	TestDEBAddBuildsSignedByHashRepositoryFromExternalPackage	real DEB family path; selector expansion is separately structural
A06	retire	disposition-contract	contract:retire	reprepro list text is not verify output
A07	sow-cli	local-cli	TestDEBAddBuildsSignedByHashRepositoryFromExternalPackage	real APT remove rebuilds signed indexes and preserves CAS
A08	sow-cli	local-cli	TestGCDryRunConfirmationAndHistoryRoots,TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM	real orphan confirmation and package-tree fsck
A09	sow-cli	local-cli	TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM,TestDEBAddBuildsSignedByHashRepositoryFromExternalPackage	legacy init precedes real DEB admission
A10	sow-cli	local-cli	TestDEBAddBuildsSignedByHashRepositoryFromExternalPackage,TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM	real package admission and isolated deterministic materialization
A11	retire	disposition-contract	contract:retire	legacy list generator format is outside SOW
A12	external-handoff,migration-only,policy-reject	disposition-contract	contract:external-handoff,contract:migration-only,contract:policy-reject	sv transfer is external; pull is one-time; delete mirrors are rejected
A13	sow-cli	provider-protocol	TestPublishCLIUploadsRealAPTAndYUMGenerationClosures	real APT generation closure over provider protocol; real clouds remain gated
A14	external-handoff	disposition-contract	contract:external-handoff	builder delivers final DEB paths to add
A15	external-handoff	disposition-contract	contract:external-handoff	container collection remains outside SOW
Y01	policy-reject	disposition-contract	contract:policy-reject	mtime signing and build compound action is forbidden
Y02	sow-cli	local-cli	TestRPMAddBuildsSignedZstdRepositoryFromExternalPackage,TestInitAdoptContentPigstyV1SuiteNestedAPTAndFlatYUM,TestInitAdoptContentSynthetic33RepoGeneralization	real RPM parser signed metadata and synthetic selector-generalization materialization
